,Col_Name
575,might  libtard  if...
576,mind
577,mindset
578,mindset  leads
579,mindset  leads  culture-of-development
580,miss
581,missing
582,mom
583,moment
584,monday
585,money
586,month
587,months
588,morning
589,mountains.
590,movie
591,much
592,music
593,must
594,n
595,name
596,need
597,need  adapt
598,need  adapt  environment.
599,need  tear
600,need  tear  city.
601,needs
602,never
603,new
604,news
605,next
606,next  week
607,nice
608,night
609,nothing
610,now.
611,obama
612,officially
613,oh
614,old
615,old  tweets!
616,old  tweets!  might
617,omg
618,one
619,open
620,order
621,organizations
622,organizations  #work
623,organizations  #work  #mindset
624,orlando
625,others
626,pa
627,pay
628,peace
629,people
630,perfect
631,person
632,photo
633,place
634,places
635,play
636,playing
637,please
638,point
639,polar
640,polar  bear
641,polar  bear  climb
642,polar  bear  living
643,porn
644,post
645,power
646,ppl
647,prayers
648,pretty
649,proud
650,put
651,r
652,race
653,racing
654,racing  polar
655,racing  polar  bear
656,racing:
657,racing:  angry
658,racing:  angry  polar
659,racist
660,reach
661,reach  target
662,reach  target  complete
663,reached
664,read
665,reading
666,ready
667,real
668,really
669,really  think
670,really  think  head
671,remember
672,rest
673,right
674,run
675,sad
676,safe
677,said
678,saturday
679,save
680,saw
681,say
682,saying
683,says
684,school
685,season
686,see
687,seeing
688,seems
689,seen
690,send
691,set
692,sex
693,share
694,shit
695,shooting
696,show
697,side
698,simulation:
699,simulation:  buffalo
700,simulation:  buffalo  take
701,simulator:
702,simulator:  need
703,simulator:  need  adapt
704,since
705,single
706,sleep
707,smile
708,someone
709,something
710,sometimes
711,song
712,soon
713,sorry
714,special
715,sta
716,staing
717,stas
718,state
719,stay
720,still
721,stop
722,story
723,strong
724,summer
725,sun
726,sunday
727,super
728,suppo
729,sure
730,survive.
731,take
732,take  time
733,take  time  ur??!!!
734,take  vicinity
735,take  vicinity  homes
736,takes
737,taking
738,talk
739,talking
740,target
741,target  complete
742,target  complete  task
743,task
744,task  survive.
745,team
746,tear
747,tear  city.
748,tell
749,thank
750,thankful
751,thanks
752,that's
753,there's
754,they're
755,thing
756,things
757,think
758,think  head
759,think  head  empty
760,this.
761,thought
762,thoughts
763,tickets
764,till
765,time
766,time  ur??!!!
767,time  ur??!!!  ??????????????????
768,time.
769,times
770,today
771,today!
772,today's
773,today.
774,together
775,tomorrow
776,tomorrow.
777,tonight
778,top.tags
779,top.tags  #tbt
780,top.tags  #tbt  #cute
781,trip
782,true
783,truly
784,trump
785,try
786,trying
787,tv
788,tweet_x
789,tweets!
790,tweets!  might
791,tweets!  might  find
792,twitter
793,two
794,understand
795,up:
796,up:  dominate
797,up:  dominate  bull
798,update
799,ur
800,ur??!!!
801,ur??!!!  ??????????????????
802,us
803,use
804,used
805,useful
806,useful  well:
807,useful  well:  #deletetweets
808,using
809,via
810,vicinity
811,vicinity  homes
812,vicinity  homes  do.
813,victims
814,video
815,visit
816,w/
817,wait
818,wait  see
819,waiting
820,wake
821,walk
822,wanna
823,want
824,want  do.
825,wanted
826,wants
827,watch
828,watching
829,way
830,way  delete
831,way  delete  old
832,we're
833,wedding
834,week
835,weekend
836,weeks
837,welcome
838,well
839,well:
840,well:  #deletetweets
841,went
842,what's
843,whatever
844,whatever  want
845,whatever  want  do.
846,white
847,whole
848,win
849,wish
850,wishing
851,without
852,woman
853,women
854,wonderful
855,word
856,words
857,work
858,working
859,world
860,would
861,wow
862,wrong
863,x
864,yeah
865,yeah  good
866,yeah  good  bing
867,year
868,years
869,yes
870,yet
871,yo
872,you
873,you!
874,you.
875,you?
876,young
877,id
878,label
879,tweet_y
